"WEAPON","","INFO","","","","PREFERENCE","","","PERKS","","","ROLE / NOTES","ANALYSIS","","SOURCE",""
"","Chattering Bone (Pantheon Variant)","Pulse Rifle","Kinetic","Kinetic","Lightweight","Arrowhead
Extended
Chambered
Hammer-forged
Smallbore","Accurized
Steady","Range
Stability","Kill Clip
Rapid Hit","Headseeker
Chaos Reshaped
Binary Orbit
Kinetic Tremors","Ellipitcal Orbit
Explosive Pact","Lightweight/Movement
Kill Clip + Chaos Reshaped x1/Binary Orbit = 2 Burst @ 0.53.
KC+CR x2 => 0.47
Better origin trait option than Last Wish variant, but lacks Rampage for easier 2 burst.","","S","Pantheon Raid","No"
"","Haliaetus","Rocket Launcher","Heavy","Strand","High-Impact","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier
Cluster Bomb","Elemental Honing
Binary Orbit
Aggregate Charge","Bray Legacy","Small energy gains via Origin trait.","","A","Tenet of Bravery","No"
"","Roar of the Bear","Rocket Launcher","Heavy","Solar","High-Impact","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier
Explosive Light","Cluster Bomb
Chain Reaction
Vorpal Weapon","Skulking Wolf","Vorpal Weapon.
Skulking Wolf Heavy.","","S","Iron Banner / Saladin Vendor","No"
"","Sleepless","Rocket Launcher","Heavy","Arc","High-Impact","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier
Wellspring","Chain Reaction
Elemental Honing
Demolitionist","Advanced Reflexes","Extra damage, handling & mobility via Origin trait.","","A","Dreaming City Destination","No"
"","Tomorrow's Answer","Rocket Launcher","Heavy","Void","High-Impact","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Cluster Bomb
Chain Reaction
Explosive Light","Wild Card
Fleet Footed
Roar of Battle","AoE damage/res denial via Origin trait.","","S","Trials of Osiris / Saint-14 Vendor","No"
"","The When and Where","Rocket Launcher","Heavy","Stasis","Adaptive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Explosive Light
Elemental Honing
Reaper's Tithe","Frame of Reference","Adaptive Frame w/ nearly 100 Blast Radius.
Strong origin trait.
Provides extra damage, range, and reload speed. Buff pauses on stow, and timer only progresses while weapon is readied, allowing the buff to be ""backpacked"". 
Dmg buff: x1 = 1.45% / x2 = 2.8%  / x3 = 4.2% / x4 = 5.6% / x5 = 7%","","S","Desert Perpetual Raid","No"
"","The Hothead","Rocket Launcher","Heavy","Arc","Adaptive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Explosive Light
Elemental Honing
Aggregate Charge","Vanguard Determination
Problem Solver","Adaptive Frame w/ nearly 100 Blast Radius.","","S","Vanguard Pinnacle Ops / Zavala Vendor","No"
"","Bellowing Giant","Rocket Launcher","Heavy","Void","Adaptive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Tracking Module
Impromptu Ammunition
Quickdraw","Cluster Bomb
Reaper's Tithe
Aggregate Charge","Forge's Kin","Adaptive Frame w/ nearly 100 Blast Radius.
Origin trait increases ammo gen & reload speed on final blow for all equipped Black Armory weapons for a brief period.","","B","Arena Ops / Zavala Vendor","No"
"","Apex Predator","Rocket Launcher","Heavy","Solar","Adaptive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Cluster Bomb
Chain Reaction
Incandescent","Explosive Light
Reaper's Tithe
Surrounded","Explosive Pact","Adaptive Frame w/ nearly 100 Blast Radius.","","B","Last Wish Raid","Yes"
"","Crux Celeritas IV","Rocket Launcher","Heavy","Strand","Aggressive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Explosive Light
Elemental Honing
Reaper's Tithe","Wild Card
Featherweight","Aggressive Frame w/ Impulse + Explosive Light.
Exp Light provides 100 Blast Radius to offset low Blast on frame.","","C","Sparrow Racing League","No"
"","Subzero Salvo","Rocket Launcher","Heavy","Arc","Precision","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Explosive Light
Gear Shift","Winterized Gear","Precision Frame w/ Impulse + Explosive Light.
Exp Light provides 100 Blast Radius to offset low Blast on frame.","","C","Europa Destination","No"
"","Hezen Vengeance","Rocket Launcher","Heavy","Solar","Aggressive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier
Cluster Bomb
Incandescent","Explosive Light
Elemental Honing
Binary Orbit","Timelost Magazine","Aggressive Frame w/ Impulse + Explosive Light.
Exp Light provides 100 Blast Radius to offset low Blast on frame.","","C","Vault of Glass Raid","Yes"
"","Cold Comfort","Rocket Launcher","Heavy","Stasis","Aggressive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Explosive Light
Reaper's Tithe
Elemental Honing","Restoration Ritual","Aggressive Frame w/ Impulse + Explosive Light.
Exp Light provides 100 Blast Radius to offset low Blast on frame.","","C","Ghosts of the Deep Dungeon","No"
"","Crowning Duologue","Rocket Launcher","Heavy","Strand","Precision","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Reverberation
Chain Reaction
Cluster Bomb","Dream Work
Hakke Breach Armaments","Precision Frame w/ Impulse + Reverberation.
Reverberation grants +100 blast Radius for 5 seconds after a kill.
Useless Origins.","","D","Tenet of Bravery","No"
"","Bad Omens","Rocket Launcher","Heavy","Void","Aggressive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Tracking Module
Auto-Loader Holster","Explosive Light
Cluster Bomb
Elemental Honing","Gun and Run","Bad frame, no Impulse Amplifier.
Explosive Light provides 100 Blast Radius to offset low Blast on frame.","","D","Gambit / Drifter Vendor","No"
"","Heretic","Rocket Launcher","Heavy","Arc","Aggressive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier
Cluster Bomb","Explosive Light
Gear Shift
Binary Orbit","Loss","Aggressive Frame w/ Impulse + Explosive Light.
Exp Light provides 100 Blast Radius to offset low Blast on frame.
Gear Shift for neutral damage buff.","","B","Altars of Sorrow Event on Moon","No"
"","Cynosure","Rocket Launcher","Heavy","Strand","Adaptive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Tracking Module
Field Prep
Slice","Explosive Light
Chain Reaction
Aggregate Charge","Vanguard Determination
Suros Synergy","Adaptive frame w/ nearly 100 Blast Radius, no Impulse Amplifier.","","C","Vanguard Ops / Zavala Vendor","No"
"","Micromort","Rocket Launcher","Heavy","Arc","Precision","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier
Cluster Bomb","Chain Reaction
Paracausal Affinity
Binary Orbit","Nail, Meet Hammer
Hakke Breach Armaments","Precision Frame w/ Impulse, no Explosive Light.
Medium Blast Radius at 74 max w/ Impulse.","","B","Tenet of Bravery","No"
"","Folded Root","Rocket Launcher","Heavy","Void","Aggressive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Cluster Bomb
Danger Zone
Reverberation","Chain Reaction
Frenzy","Tenacity","Bad frame, no Impulse Amplifier or Explosive Light.","","F","Tenet of Bravery","No"
"","Pyroclastic Flow","Rocket Launcher","Heavy","Solar","Precision","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Cluster Bomb
Danger Zone
Field Prep","Explosive Light
Surrounded
Aggregate Charge","Fail-Deadly","Precision Frame, no Impulse. Exp Light
 provides 100 Blast Radius to offset low Blast on Frame.
Double Surrounded perks for Kamikaze plays.","","C","Nessus Destination","No"
"","Heretic's Fervor","Rocket Launcher","Heavy","Stasis","Aggressive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Tracking Module
Field Prep
Quick Draw","Explosive Light
Reverberation
Harmony","Dark Ether Reaper","Aggressive Frame, no Impulse.
Exp Light provides 100 Blast Radius to offset low Blast on frame.","","C","Xur","No"
"","Code Duello","Rocket Launcher","Heavy","Solar","High-Impact","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Cluster Bomb
Chain Reaction","None","Aggressive Frame w/ Impulse + Cluster Bomb / Chain Reaction.
No Origin.","","B","Xur","No"
"","Faith-Keeper","Rocket Launcher","Heavy","Void","Precision","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Explosive Light
Reverberation
Frenzy","Radiolaria Transposer","Precision Frame w/ Impulse & Explosive Light.
67 Blast Radius at Max.
Exp Light provides 100 Blast Radius to offset low Blast on frame.","","C","Encore Exotic Mission 
Classic Collections Modifier: ON","Yes"
"","Semiotician","Rocket Launcher","Heavy","Strand","High-Impact","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Explosive Light
Harmony
Danger Zone","Head Rush","Good frame, good perks, decent Origin trait.
Craftable for easy access.","","A","Xur","Yes"
"","Bump In The Night","Rocket Launcher","Heavy","Stasis","Aggressive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Tracking Module
Field Prep","Chain Reaction
Frenzy","Extrovert","Bad frame, bad perks, mid Origin.","","D","Presage
Legacy Loot
Modifier Classic Collections: ON","Yes"
"","Red Herring","Rocket Launcher","Heavy","Void","Adaptive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Tracking Module
Cluster Bomb
Field Prep","Explosive Light
Elemental Honing
Golden Tricorn","Psychohack","Adaptive w/ no Impulse Amplifier. Explosive Light.
87 Blast at Max.
Exp Light provides 100 Blast Radius to offset low Blast on frame.","","C","Throne World Destination","Yes"
"","Ascendancy","Rocket Launcher","Heavy","Solar","Precision","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Explosive Light
Cluster Bomb
Reaper's Tithe","Vanguard Determination","Precision w/ Impulse Amplifier & Explosive Light.
74 Blast Radius at max w/ Impulse & Exp. Light.
Exp Light provides 100 Blast Radius to offset low Blast on frame.","","B","Vanguard Solo Ops / Zavala Vendor","No"
"","Palmyra-B","Rocket Launcher","Heavy","Stasis","Precision","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Explosive Light
Chain Reaction","Hakke Breach Armaments","Precision w/ Impulse Amplifier & Explosive Light.
67 Blast at Max w/ Impulse & Explosive Light.
Exp Light provides 100 Blast Radius to offset low Blast on frame.","","B","Gunsmith Legacy Focusing","Yes"
"","Crux Termination IV","Rocket Launcher","Heavy","Arc","Aggressive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Slideshot","Explosive Light","Wild Card","Aggressive Frame w/ No Impulse. Explosive Light.
Exp Light provides 100 Blast Radius to offset low Blast on frame.","","D","Gunsmith Legacy Focusing","No"
"","Braytech Osprey","Rocket Launcher","Heavy","Void","High-Impact","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Cluster Bomb
Field Prep","Chain Reaction
Golden Tricorn","Vanguard's Vindication
Stunning Recovery","Good frame. but no Impulse Amplifier.
Cluster + Chain Reaction for AoE.","","B","Xur","No"
"","Blowout","Rocket Launcher","Heavy","Arc","Adaptive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Explosive Light
Cluster Bomb
Chain Reaction
DIsruption Break","One Quiet Moment
Suros Synergy","Adaptive Frame w/ Impulse Amplifier & Explosive Light.
80 Blast at max w/ Impulse & Exp. Light.
Non-enhanceable, non-tiered.","","B","Shaxx Vendor Legacy Focusing","No"
"","Royal Entry","Rocket Launcher","Heavy","Void","Precision","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Impulse Amplifier","Cluster Bomb
Chain Reaction
Thresh","Vanguard's Vindication","Precision w/ Impulse Amplifier. No Explosive Light.
60 Blast Radius at max.
Lack of Blast Radius diminishes use.","","D","Zavala Vendor Legacy Focusing","No"
"","Sins of the Past","Rocket Launcher","Heavy","Arc","High-Impact","Linear Comp
Confined
Smart Drift","None","Blast Radius
Velocity","Cluster Bombs
Ambitious Assassin","Auto-Loading Holster","None","S Tier for style points. 
It's drip or drown in this bitch, and bois, we're at the bottom of the Mariana Trench.
Real ones remember when this could be ANY element.","","D","Unobtainable (Previously Leviathan Raid)","No"
"","Hoosegow","Rocket Launcher","Heavy","Arc","Adaptive","Volatile Launch
Quick Launch
Linear Comp","Black Powder
High Velocity
Impact Casing","Blast Radius
Velocity","Tracking Module
Field Prep
Pulse Monitor","Cluster Bomb
Rangefinder
Quickdraw","None","Hoosegow Gang rise up.","","F","Xur","No"
"","Butler RS/2","Rocket Launcher","Heavy","Arc","High-Impact","Confined Launch
Smart Drift","High Velocity","None","None","None","None","BUTLER!!","","F","Collections","No"
"","Mint Retrograde (Edge of Fate Variant)","Rocket Pulse Rifle","Kinetic","Strand","Micro-Missile","Hard Launch
Volatile Launch
Linear Comp","High-Explosive
High-Velocity","Velocity
Blast Radius","Hatchling","Slice
Elemental Honing
Chain Reaction
Master of Arms","Vanguard Determination
Problem Solver","Special Ammo Rocket-Pulse Rifle frame.
PvE bois please do not use this in PvP, they are super turbo garbage.","","F","Vanguard Ops / Zavala Vendor","No"
"","Mint Retrograde (Monument of Triumph Variant)","Rocket Pulse Rifle","Kinetic","Strand","Micro-Missile","Hard Launch
Volatile Launch
Linear Comp","High-Explosive
High-Velocity","Velocity
Blast Radius","Impulse Amplifier","Elemental Honing
Chain Reaction
Master of Arms","Accelerated Assault
Vanguard Determination
Problem Solver","Special Ammo Rocket-Rifle frame.
PvE bois please do not use this in PvP, they are super turbo garbage.","","D","Vanguard Ops / Zavala Vendor","No"
"","Psi Aeterna IV","Rocket Pulse Rifle","Energy","Arc","Micro-Missile","Hard Launch
Volatile Launch
Linear Comp","High-Explosive
High-Velocity","Velocity
Blast Radius","Blast Distributor
Reverberation","Elemental Honing","Wild Card
Accelerated Assault
Vanguard Determination","Special Ammo Rocket-Rifle frame.
PvE bois please do not use this in PvP, they are super turbo garbage.","","F","Tenet of Bravery","No"
"","Veillantif-D","Rocket Pulse Rifle","Energy","Solar","Micro-Missile","Hard Launch
Volatile Launch
Linear Comp","High-Explosive
High-Velocity","Velocity
Blast Radius","Blast Distributor
Slideways
Perpetual Motion","Incandescent
Desperate Measures
Sword Logic","Featherweight
Hakke Breach Armaments","Special Ammo Rocket-Rifle frame.
PvE bois please do not use this in PvP, they are super turbo garbage.","","F","Sparrow Racing League","No"
"","Indebted Kindness (Monument of Triumph Variant)","Rocket Sidearm","Energy","Arc","Micro-Missile","Hard Launch
Volatile Launch
Linear Comp","High-Explosive
High-Velocity
","Velocity
Blast Radius","Impulse Amplifier","Gear Shift
Chain Reaction
Surrounded","Sundering","Special Ammo Rocket-sidearm frame.
PvE bois please do not use this in PvP, they are super turbo garbage.","","F","Warlord's Ruin Dungeon","No"
"","Indebted Kindness (Original Variant)","Rocket Sidearm","Energy","Arc","Micro-Missile","Hard Launch
Volatile Launch
Linear Comp","High-Explosive
High-Velocity","Velocity
Blast Radius","Impulse Amplifier
Offhand Strike","Surrounded","Sundering","Special Ammo Rocket-sidearm frame.
PvE bois please do not use this in PvP, they are super turbo garbage.","","F","Unobtainable (Warlord's Ruin Dungeon previously)","No"
"","Lotus-Eater (Monument of Triumph Variant)","Rocket Sidearm","Energy","Void","Micro-Missile","Hard Launch
Volatile Launch
Linear Comp","High-Explosive
High-Velocity","Velocity
Blast Radius","Repulsor Brace
Dimensional Shift","Withering Gaze
Cascade Point","Vanguard Determination
Problem Solver","Special Ammo Rocket-sidearm frame.
Withering Gaze + Repulsor/Dimensional for Overshield.
PvE bois please do not use this in PvP, they are super turbo garbage.","","F","Vanguard Ops / Zavala Vendor","No"
"","Lotus-Eater (Episode: Heresy Variant)","Rocket Sidearm","Energy","Void","Micro-Missile","Hard Launch
Volatile Launch
Linear Comp","High-Explosive
High-Velocity","Velocity
Blast Radius","Repulsor Brace","Withering Gaze","Vanguard's Vindication
Stunning Recovery","Special Ammo Rocket-sidearm frame.
Withering Gaze + Repulsor for Overshield.
PvE bois please do not use this in PvP, they are super turbo garbage..","","F","Unobtainable (Previously GM Nightfalls)","No"
"","The Call","Rocket Sidearm","Kinetic","Strand","Micro-Missile","Hard Launch
Volatile Launch
Linear Comp","High-Explosive
High-Velocity","Velocity
Blast Radius","Slice
Impulse Amplifier","Aggregate Charge
Golden Tricorn
Chaos Reshaped","Dealer's Choice","Special Ammo Rocket-sidearm frame.
Slice.
PvE bois please do not use this in PvP, they are super turbo garbage.","","D","Pale Heart Destination","Yes"
